SI,beta,kmeans
68.06,0.048,0
64.35,0.044,6
64.35,0.041,6
66.2,0.038,0
58.8,0.037,6
56.94,0.037,6
56.94,0.038,6
56.94,0.039,6
56.94,0.04,6
56.94,0.041,6
52.31,0.04,2
52.31,0.041,2
46.76,0.039,7
46.76,0.033,7
46.76,0.028,7
58.8,0.024,6
61.57,0.019,6
61.57,0.015,6
61.57,0.012,6
49.54,0.01,2
49.54,0.008,2
49.54,0.007,2
49.54,0.007,2
49.54,0.008,2
56.02,0.009,6
56.02,0.01,6
57.87,0.011,6
52.31,0.011,2
56.02,0.011,6
56.02,0.01,6
56.02,0.009,6
56.02,0.008,6
56.02,0.007,6
56.02,0.007,6
56.02,0.006,6
56.02,0.006,6
50.46,0.006,2
50.46,0.006,2
50.46,0.006,2
56.02,0.006,6
47.69,0.007,2
47.69,0.007,2
47.69,0.008,2
50.46,0.01,2
50.46,0.016,2
50.46,0.026,2
50.46,0.038,2
56.02,0.048,6
56.02,0.052,6
58.8,0.05,6
58.8,0.044,6
82.41,0.04,1
78.7,0.036,1
78.7,0.033,1
70.37,0.03,0
70.37,0.026,0
61.11,0.024,6
61.11,0.021,6
61.11,0.02,6
59.72,0.018,6
59.72,0.017,6
62.5,0.017,6
62.5,0.017,6
62.5,0.017,6
51.39,0.019,2
51.39,0.021,2
51.39,0.023,2
51.39,0.028,2
51.39,0.037,2
51.39,0.04,2
43.98,0.041,7
43.98,0.036,7
43.98,0.029,7
43.98,0.025,7
43.98,0.022,7
43.98,0.021,7
43.98,0.02,7
43.98,0.02,7
41.2,0.017,7
41.2,0.015,7
41.2,0.014,7
41.2,0.015,7
41.2,0.015,7
46.76,0.016,7
46.76,0.017,7
46.76,0.017,7
46.76,0.018,7
46.76,0.019,7
46.76,0.019,7
46.76,0.021,7
46.76,0.023,7
46.76,0.029,7
48.61,0.054,7
48.61,0.083,7
81.48,0.039,1
77.78,0.033,1
77.78,0.028,1
77.78,0.024,1
75,0.021,1
75,0.018,1
75,0.016,1
75,0.015,1
75,0.014,1
75,0.013,1
75,0.012,1
75,0.011,1
75,0.011,1
75,0.01,1
69.44,0.01,0
67.59,0.009,0
67.59,0.009,0
67.59,0.01,0
67.59,0.01,0
67.59,0.01,0
67.59,0.01,0
67.59,0.009,0
67.59,0.009,0
64.81,0.008,0
59.26,0.007,6
59.26,0.007,6
56.48,0.006,6
60.19,0.006,6
60.19,0.006,6
54.63,0.005,2
54.63,0.005,2
54.63,0.005,2
46.3,0.004,7
37.04,0.004,7
37.04,0.003,7
42.59,0.003,7
43.98,0.004,7
43.98,0.004,7
45.83,0.005,7
55.09,0.007,2
76.39,0.009,1
84.26,0.012,1
84.26,0.015,1
84.26,0.019,1
84.26,0.018,1
84.26,0.017,1
84.26,0.02,1
84.26,0.025,1
84.26,0.034,1
60.19,0.056,6
60.19,0.048,6
60.19,0.041,6
70.37,0.036,0
70.37,0.031,0
62.04,0.028,6
70.37,0.025,0
68.52,0.023,0
71.3,0.022,0
75,0.022,1
75,0.02,1
75,0.019,1
63.89,0.018,0
63.89,0.017,0
63.89,0.016,0
54.63,0.015,2
54.63,0.015,2
54.63,0.015,2
54.63,0.014,2
47.22,0.014,7
47.22,0.015,7
45.83,0.016,7
43.98,0.018,7
43.98,0.026,7
43.98,0.065,7
60.65,-0.065,0
66.67,-0.04,0
66.67,-0.028,0
66.67,-0.023,0
66.67,-0.021,0
66.67,-0.021,0
66.67,-0.023,0
66.67,-0.03,0
66.67,-0.044,0
66.67,0.021,0
66.67,0.012,0
66.67,0.009,0
66.67,0.008,0
66.67,0.009,0
66.67,0.012,0
72.22,0.019,0
72.22,0.034,1
62.96,0.055,6
62.96,0.047,6
62.96,0.04,6
62.96,0.035,6
62.96,0.03,6
62.96,0.026,6
62.96,0.024,6
70.37,0.021,0
75.93,0.019,1
75.93,0.018,1
60.19,0.017,6
60.19,0.016,6
54.63,0.015,2
50.93,0.014,2
50.93,0.014,2
50.93,0.014,2
50.93,0.014,2
50.93,0.015,2
50.93,0.018,2
50.93,0.022,2
50.93,0.031,2
50.93,0.054,2
50.93,-0.043,2
50.93,-0.021,2
47.22,-0.015,2
47.22,-0.013,2
47.22,-0.013,2
47.22,-0.014,2
47.22,-0.015,2
43.06,-0.019,7
43.06,-0.026,7
40.28,0.097,7
45.83,0.062,7
45.83,0.057,7
45.83,0.05,7
45.83,0.059,7
45.83,0.073,7
48.61,0.104,7
77.31,0.051,1
77.31,0.043,1
77.31,0.036,1
73.61,0.03,1
73.61,0.025,1
73.61,0.021,1
68.06,0.018,0
68.06,0.015,0
64.35,0.013,0
53.24,0.011,2
58.8,0.009,6
61.57,0.008,6
65.28,0.007,0
65.28,0.006,0
80.56,0.005,1
80.56,0.005,1
80.56,0.004,1
80.56,0.004,1
64.81,0.004,0
78.7,0.004,1
78.7,0.004,1
80.56,0.004,1
80.56,0.004,1
80.56,0.005,1
85.19,0.007,1
85.19,0.01,1
81.94,0.015,1
77.31,0.027,1
67.59,-0.046,0
64.81,-0.032,0
64.81,-0.024,0
59.26,-0.019,6
59.26,-0.016,6
59.26,-0.013,6
59.26,-0.012,6
59.26,-0.01,6
59.26,-0.009,6
55.09,-0.008,2
55.09,-0.008,2
55.09,-0.007,2
53.24,-0.007,2
53.24,-0.006,2
53.24,-0.006,2
53.24,-0.006,2
50.46,-0.006,2
50.46,-0.006,2
64.81,-0.006,0
64.81,-0.007,0
64.81,-0.011,0
54.17,-0.04,2
54.17,0.032,2
54.17,0.02,2
60.19,0.058,6
60.19,0.049,6
60.19,0.042,6
60.19,0.037,6
60.19,0.032,6
60.19,0.027,6
60.19,0.024,6
60.19,0.021,6
60.19,0.019,6
60.19,0.018,6
50.93,0.017,2
50.93,0.016,2
50.93,0.015,2
50.93,0.015,2
50.93,0.014,2
50.93,0.014,2
48.15,0.014,2
48.15,0.015,2
48.15,0.015,2
48.15,0.016,2
44.44,0.016,7
44.44,0.017,7
44.44,0.017,7
44.44,0.017,7
40.74,0.015,7
40.74,0.013,7
40.74,0.011,7
40.74,0.012,7
40.74,0.013,7
40.74,0.014,7
40.74,0.017,7
50,0.02,2
50,0.02,2
50,0.02,2
50,0.018,2
50,0.016,2
50,0.014,2
50,0.012,2
50,0.011,2
50,0.011,2
50,0.012,2
50,0.015,2
50,0.019,2
46.3,0.024,7
46.3,0.031,7
50,0.038,2
50,0.047,2
56.48,0.067,6
74.07,0.065,1
74.07,0.055,1
77.78,0.047,1
77.78,0.04,1
77.78,0.034,1
79.63,0.03,1
79.63,0.026,1
79.63,0.023,1
79.63,0.021,1
83.33,0.019,1
78.7,0.017,1
78.7,0.015,1
75.93,0.014,1
73.15,0.013,1
69.44,0.012,0
69.44,0.012,0
66.67,0.011,0
71.3,0.01,0
71.3,0.01,0
71.3,0.01,0
69.91,0.01,0
69.91,0.011,0
47.22,0.011,2
47.22,0.012,2
75.46,0.016,1
75.46,0.026,1
58.33,0.058,6
68.98,0.028,0
68.98,0.016,0
67.59,0.01,0
71.3,0.008,0
71.3,0.006,0
71.3,0.004,0
71.3,0.004,0
71.3,0.004,0
71.3,0.004,0
71.3,0.004,0
76.85,0.005,1
76.85,0.007,1
76.85,0.009,1
76.85,0.014,1
76.85,0.029,1
66.67,0.046,0
62.96,0.039,6
62.96,0.034,6
62.96,0.029,6
62.96,0.025,6
62.96,0.021,6
64.81,0.019,0
64.81,0.016,0
64.81,0.014,0
64.81,0.013,0
62.04,0.012,6
62.04,0.011,6
59.26,0.01,6
59.26,0.01,6
55.56,0.01,6
55.56,0.01,6
55.56,0.01,6
55.56,0.01,6
50,0.011,2
50,0.012,2
47.22,0.014,7
47.22,0.022,7
47.22,0.094,7
38.89,-0.025,7
38.89,-0.015,7
38.89,-0.012,7
38.89,-0.011,7
38.89,-0.012,7
44.44,0.014,7
44.44,0.018,7
44.44,0.022,7
38.89,0.028,7
38.89,0.069,7
